"","MG","Rod","AC","BC","Cone","HC","RGC"
"PADI2",0.34020618556701,0.62829714695855,0.071360608943863,0.0154039610185476,2.18292682926829,0.00704225352112676,0.0309278350515464
"RCC2",0.158762886597938,0.0635205454871703,0.114176974310181,0.0653882426909777,0.121951219512195,0.103286384976526,0.288659793814433
"ARHGEF10L",0.4,0.0837968778036964,0.301617507136061,0.324740647595096,0.310975609756098,0.279342723004695,0.701030927835051
"IGSF21",0.0391752577319588,0.154764040911538,0.137963843958135,1.67966048412449,0.0670731707317073,0.0140845070422535,0
"UBR4",0.406185567010309,0.438542975058317,0.66127497621313,0.530650738761396,1.50609756097561,0.692488262910798,2.16494845360825
"RP1-43E13.2",0.280412371134021,0.350708774448233,0.369172216936251,0.27349889971707,0.380081300813008,0.356807511737089,0.257731958762887
"EMC1",0.109278350515464,0.256953167055446,0.228353948620362,0.139264382269727,0.123983739837398,0.150234741784038,0.237113402061856
"MRTO4",0.0391752577319588,0.02565942939171,0.101807802093245,0.0421251178874568,0.0569105691056911,0.0985915492957747,0.164948453608247
"AKR7A2",0.109278350515464,0.055356181589808,0.209324452901998,0.12071675573719,0.0955284552845528,0.265258215962441,0.412371134020619
"PQLC2",0.0536082474226804,0.0408218194868114,0.100856327307326,0.0889657340458975,0.0711382113821138,0.110328638497653,0.134020618556701
"CAPZB",0.48659793814433,0.909294814283151,1.01807802093245,0.766425652310594,1.04065040650407,0.78169014084507,2.02061855670103
"NBL1",0.0103092783505155,0.0162390095101382,0.190294957183635,0.104055328513046,0,0.028169014084507,0.0515463917525773
"OTUD3",0.117525773195876,0.0955499730845146,0.292102759276879,0.153410877082678,0.209349593495935,0.197183098591549,0.412371134020619
"PLA2G5",0.0515463917525773,0.255697111071236,0.0114176974310181,0.0792203709525306,3.00813008130081,0.0164319248826291,0
"CAMK2N1",0.105154639175258,0.0413601291943298,0.922930542340628,0.478151524677774,0.0223577235772358,0.448356807511737,0.917525773195876
"MUL1",0.0556701030927835,0.0510497039296609,0.0980019029495718,0.0760767054385413,0.121951219512195,0.0892018779342723,0.144329896907216
"PINK1",0.123711340206186,0.233895567916741,0.345385347288297,0.211568689091481,0.626016260162602,0.356807511737089,0.54639175257732
"PINK1-AS",0.0268041237113402,0.0253902745379508,0.0399619410085633,0.0377239861678717,0.0589430894308943,0.0211267605633803,0.0206185567010309
"DDOST",0.117525773195876,0.0840660326574556,0.172216936251189,0.152153410877083,0.203252032520325,0.197183098591549,0.11340206185567
"HP1BP3",0.767010309278351,0.570518571684909,1.15889628924833,0.827412763281987,1.16869918699187,1.12441314553991,1.27835051546392
"RP5-930J4.4",0.022680412371134,0.0217118248699085,0.0342530922930542,0.0301791889342974,0.0467479674796748,0.0586854460093897,0.0618556701030928
"EIF4G3",1.71546391752577,2.18876727076978,3.62226450999049,3.28701666142722,6.52642276422764,3.07981220657277,6.50515463917526
"ECE1",0.874226804123711,0.0180333752018661,0.525214081826832,0.0540710468406162,0.048780487804878,0.0117370892018779,0.319587628865979
"NBPF3",0.0597938144329897,0.0645971649022071,0.194100856327307,0.136435083307136,0.0995934959349594,0.103286384976526,0.762886597938144
"ALPL",0.045360824742268,0.230306836533285,0.0675547098001903,0.009116629990569,0.0142276422764228,0.00704225352112676,0
"RAP1GAP",0.065979381443299,0.0133680244033734,0.823977164605138,0.200251493241119,0.0101626016260163,0.485915492957746,1.74226804123711
"USP48",0.63298969072165,0.528081823075543,0.991436726926736,0.907576233888714,0.849593495934959,0.946009389671362,2.17525773195876
"LINC00339",0.0742268041237113,0.0619056163646151,0.071360608943863,0.0603583778685948,0.0873983739837398,0.0915492957746479,0.278350515463918
"CDC42",0.319587628865979,0.34478736766553,0.759276879162702,0.521534108770827,0.603658536585366,1.12676056338028,2.84536082474227
"ZBTB40",0.183505154639175,0.295980620850529,0.247383444338725,0.200251493241119,0.380081300813008,0.392018779342723,0.412371134020619
"EPHB2",0.261855670103093,0.00224295711465997,0.606089438629876,0.233259981138007,0.00609756097560976,0.0117370892018779,0.195876288659794
"KDM1A",0.307216494845361,0.229230217118249,0.704091341579448,0.464948129519019,0.526422764227642,0.443661971830986,0.793814432989691
"RP1-184J9.2",0.179381443298969,0.115018840839763,0.311132254995243,0.22948758252122,0.23780487804878,0.293427230046948,0.484536082474227
